Reference Arabic,Translated Arabic
و هذه؟,وهذا
...لقد كان,كان أممم
ما الذي تفعله هناك؟,ماذا تعمل هنا؟
لا أحب ذلك,لا يعجب بها
هل حصلت على جزء ?,هل حصلت على الجزء؟
-هذا ليس من شأنك,هذا ليس من أعملك
-نعم .,ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه
كنت على خطأ,كنت خطأة
ـ الآخرون؟,الغاير من الغاير.
أنا (ماتش)، فخامتك,أنا كثيرا فلادتك
هل كلامي واضح؟,هل أجل أنا أكثر من الوضح؟
شكرا لكم.,شكرا لك
أشك في ذلك,أراهنك أنك تفعل
هذا يكفي !,هذا كافي
أجل، بالطبع.,أجل ، بلطبع
أنا هو,أنا هو
-أأنت بخير ؟,أنت بخير
ـ لا .. لا ..,لا، لا
انها لك,هي كالها لك
تريدين الحقيقة ؟,أنت تريد الحقيقة
ماذا عنك؟,ماذا عنك؟
-وداعا .,والوقاع
-لا بأس .,هذا حسنا
أنا آسفة,أنا أسف.
أنا يجب أن أذهب,يجب أن أن أذهب
ربما لدينا شيء مشترك.,لربما لدينا شيء مشارط
حسنا،حسنا إهدأ,حسنا حسنا استرخي
-تفضلي بالجلوس,أجلسي
كيف الحال؟,كيف ذلك؟
-هل أنت بخير؟,هل أنت بخير؟
هنري مالذي يحدث,ما الطيب؟
-ماذا فعلت؟,ماذا عملت؟
ماذا حدث ؟,ماذا حصل ؟
أهذا كل ما لديك؟,هل هذا كل ما لديك؟
ما ) الأعظم هو الذي اشتراها ),أمي أكبر إنه اشتراه وسلمه
أهذا صحيح؟,هذا الحق
"اختصار لـ"" أم أود مضجعتها"" ؟",كاما أمي أود التعايق
اوة اوة ،عسلي,أوه أوه العزيزة
ما هو اسمك؟,ماذا اسمك؟
ماذا كان هذا؟,ماذا كان هذا؟
رائحة طيبة,روم روائم طيبة
من ماذا ؟,من ماذا؟
لم يكن الأمر سهلا.,لم يكن هينا
و أنت؟,و أنت
لا أظن ذلك,لا أظن ذلك
خذ وقتك,اخذ وقتك فقط
-من هنا,هنا
طبعا لا,بجحم، لا
بعد اذنك,أعذرني
ماذا تنتظر؟,ماذا تنتظر؟
إلى اللقاء.,انسة برسكت وداعا
-مثلك .,محبة لك
لهذا اخرجتنى من السرير؟,لهذا أنت أخلقتني من السرير
-هذا مؤسف .,هذا حزن
ـ ماذا تفعل هنا؟,ماذا تعمل هنا؟
- حسنا,حسناً، حسناً
ماذا عنكم؟,ماذا عن كل الجميع هنا؟
-أوافقك الرأي .,أتفق علي
الكلمة الثالثة:,الراعية الثالثة
ماذا قلت ؟,ماذا كنت قلت؟
(كيليان) شكرا يا الله,شكرا للهك
عجباه، (زاك).,هوا زاك
ما الذي يحدث؟,ماذا يحصل ؟
حسنا يا رفاق,حسنا العصاب
لا .,لا، لا
-لما لا ؟,لماذا لا ؟
مازلت أفعل ذلك,مازل يمكني أن أعمل هذا
-ولا أنا,ولا أنا
كما تعلمون,أنت تعرف؟
انا مش مصدقة ..,لا أصدق هذا
لقد كان هنا.,هو كان هنا
-تبا لك,مص هذا.
هل يمكنك أن تتحكمين بها ؟,هل يمكنك التحكم بها؟
أأنت بمفردك؟,هل أنت من الوحد؟
أنت مثير للشفقة,هذا مثير الأثقل
هذا سؤال جيد,هذا سؤل حقيق
هذا حسن,هذا حسنا
لقد كنت على حق.,كنت محقاً
كيف أستطيع مساعدتك؟,كيف سأسعدك؟
تبا لك,لعني أنك أبد
-ماذا تريدين؟,ماذا تريد؟
الدورة الرابعة والخمسون,الداورة الرافدة الثامن
انظري لهذا.,إنظري لهذا
شكرا لكم.,شكرا لك
انا لا اعلم,لا أعرف
لا اعتقد هذا,لا أظن لا
ماذا يحدث هنا,ماذا يحسب؟
ـ أين كنت؟,أين كنت؟
واحد، إثنان، ثلاثة.,احد، إثنين، ثلثة
هل ترى؟,أرى القوة
لا ، ليس معي,لا لا لست أنا
- لا استطيع,لا أستطيع
هل أنت بخير ؟,هل أنت بخير؟
مذكرة من رئيس مجلس الأمن,موعدة من رأس مجلس الأمن
لا تنسى هذه النقطة,لا تنسي ذلك
ما اسمك؟,لربما تدعوني بالحب سام
تماما مما يعني لا عمولة لك,أجل عملت ما يعني لا عملة بهذا لك
هذا كل شيء,هذا هذا هو
- كيف تعمل؟,كيف تعلين ؟
كيف عرفت هذا؟,كيف تخمن هذا؟
ماذا حدث؟,ماذا حصل ؟
يمكننا أن نتوقف الآن إن أردت.,لا إنا يمكنننا أن نتقف الان الذي تريد
أتفهم ذلك,أرى هذا
أرجوك لا تفعل هذا,لو) لا تفعل ذلك)
مثل شاطئ جميل أو جبل,مكان لطيف كشواطي جول أو جللل
لقد مضت فترة,كانت منذ مدة
غادرت فقط,أنها تركت فقط
آمل ذلك,أتمنى ذلك
"صحيح , سيدي",حسناً السيد
هنالك المزيد,هناك أكثر من هذا
ها نحن أولاء,هنا نذهب
لا أقدر,لا أكد أني أستطيع
وهذا يذكرني ..,وهذا يذكرني
أنا هنا,أنا هنا
-تفضلوا من فضلكم -شكرا,شكرا لك
هل رأيتها؟,أنت رأيتها؟
علي الذهاب.,سأذهب.
ربما علي الذهاب إلى هناك,لربما يجب أن أصعد هناك
موسمة كـ(لاسن)؟,مسمم به لاسن
ما الذي حدث هناك؟,ماذا حصل هنا؟
عفوا ؟,أعذرني
أنت لئيم,أتعني أنت لاحد؟
-هل تمانع؟,هل تمنعين؟
ليس لدي فكرة,ليس ليدي أفكرة
انهض !,انهضي
إنه مهم,هذا مهم
لقد وجدت شيئا,اوجدت شيءا فقط
المكان آمن.,كانتم أكثر من الطلاب
-أنا أحذرك,أنا أحذرك
هذا يكفي.,هذا كافي
-لا لست كذلك,لا، لا أنا لست كذلك
مع السلامه,أنه متأجل
-ديفيد -ماذا؟,دايد
لكن لا تتوقف عن الحديث ياعزيزي,لكنك تسامر بكانك تحادث عليك
أنت تضيعين الوقت فحسب,أنت تهدر الوقت فقط
هذا غريب,هذا غريب
لم أقرر بعد,لست متأكدة
". ماذا , الان ؟",ماذا الان؟
ماذا سنفعل الآن؟,ماذا نفعل الان؟
أنا بخير.,أنا حسنة
-بربك ؟,حقاً
"ماذا أنت , ولد صغير ؟",ماذا انت من الصيد ستبورد؟
مايكل أنجلو أجل,مايلايلانجلو
أنا الذي أحمل القنابل.,أنا الذي عنده القذابة
مابالك هكذا؟,ماذا هو مشكلك؟
كيف وجدتني؟,كيف جدتني؟
هل يوجد أحد هنا ؟,أي أي أحد من بالدور؟
أنت مذهلة,أنت تبدو مبدون سميعا
هل تتجسسين علي؟,هل تتسخس علي؟
لم أفعل بك أي شيء,لم أفعل أي شيء
- حسنا.,حسناً، حسناً
أين المال؟,أين المال؟
هو كذلك .,هذا هذا هو
- أوه نعم,نعم حسنا كانا صدقين مذ كذلك
سوف أدفنك مع السافلة!,لتدفن مع الساحقة
"نعم , صحيح",نعم، حسنا
ها هو ذا,هنا هو هيا كارول
جيد انت تطوعت,أنت تطوعت فقط
أنا لست زوجتك المتوسطة,أنا لست زوجتك المزدوجيرة
ماهذا بحق الجحيم؟,ماذا هذا؟
مثل ماذا ؟,مثل ماذا ؟
"لا,لا أعتقد ذلك",لا لا أظن ذلك
- اللعنة ، لا أعرف,لا أعرف
يا سافل إنه في ألم رهيب,ايها الابن السفان هو في جحيم
اطلق النار عليه,أضربه.
هذا رائع,هذا كبير بخير
حظا موفقا.,حظا حظا موضبا
دعني أرى.,دعني أرى
ماذا تعتقد؟,ماذا تفكر؟
لم تسألان؟ لقد مات,لماذا تسئل؟
هذا هو,هذا هذا هو
أنا هنا.,أنا هنا
فقط ذلك ؟,هذا هذا هو
. واحد، إثنان، ثلاثة,احد، إثنين، ثلثة
ليس بعد الأن,ليس معدة
ـبشأنالرجلالذيأطلق النارعليك..,عن الشخص ذلك الذي أصطحبك
نعم، (هانا) أرادت سرقة شيء,أجل، هانا أردت سرقة شيءا
بكل سرور,بمن سريعك
كل شيء على ما يرام,عاد هنا
لقد سمعت عنكم,سمعت عنك
إلى اين ذهبت ؟,أين ذهبت؟
ما الذي يحصل؟,ماذا يحصل ؟
- نعم؟,الحنق من الحيرة ؟
علم بذالك.,علمت هذا
يبدو ذلك,هذا يبدو بهذا الطريق
ماذا نفعل هنا؟,ماذا نعمل هنا؟
انا سعيد جدا بلقائك,أنا سرريح لقائك
ابتعد من طريقي,أنتهي من الطريق
"ابتعد, سأهتم بالأمر",أنت أحصل على هذا
-إلى أين سنذهب؟,أين نذهب؟
لقد ربحت العملة المعدنية,فزنت العملة رمية
الموت سيكون مغامرة كبيرة جدا,لموت سيكون مغامرة كبريعة
هل أنت أصم؟,لم يصلا لى التى التى التى التى التى التى التى التى ايها؟
(كلارك)، لم تكن مضطرا.,لم يجب أن تفعلي
لا يصدق,من التعقيد.
...حسنا الآن,حسنا الان
ليس بعد الآن.,ليس معدة
-لم أنت هنا؟,لما انت هنا؟
أنا آسف.,أنا أسف.
هل هذه لي؟,هل هل هذن لي؟
ها نحن مجددا.,هنا نذهب
هل أنا بخير ؟,هل أنا أنا ؟
أين كنت ؟,أين كنت؟
ما الذي تقوليه ؟,ماذا تقول؟
توقف عن ذلك!,كف عن هذا
هذا لطيف,هذا عظيم
عودا حميدا,مرحبا بعدتك
لا تقلقي,لا تقلقي
ليس بعد.,ليس بعد
لطيف للغايه,يا لها من قمص ظفي
! ابقي معي,أبقي معي
-نعم .,أنت معلوم؟
-ما الأمر؟,ما الطيب؟
نحن قريبون جدا,كانا مقتربين لكذلك
هل هذا لي؟,(بيث)
أجل سيدي.,نعم ، سيدي
هل ترين هذا ؟,أترين هذا؟
ما الذي تتوقعه مني ؟,ماذا تتوقع مني؟
أنا زوجتك,أنت تتحدث عليها الزوجه
الأمر كله,هذا كله
ما رأيك ؟,ماذا تقل؟
السيد (كلير),سيد كاري
تعتقد ذلك ؟,ماذا عنك؟
ـ انه 454 من روجر كاسل,ايه ايه ايه ايه ايه ايه ايه من السجادة
-بربكما يا رفاق .,هيا يا رجال
ألا تفهمين؟,ألا تفهم هذا؟
أنه تقدير دقيق للأمر.,هذا القيم دقيق هل هو الامضي؟
لم يظهر صديقك صاحب الشاحنة.,اصديقك ذلك الشاحنة لن يظهر
- نعم!,أجل
لم أستطع.,لم أستطيع
-يا إلهي !,من يميت؟
إلى اللقاء - إلى اللقاء -,بايت بايي
أين أنت؟,أين انت؟
-مهلا !,هاي، هيا.
هيا بنا,دعنا نذهب
-إجلسي .,إجلسي
كيف عرفتي؟,كيف جدتني؟
- بلى؟,أجل
هل سمعت ما قلته؟,هل سمعت ما قلت؟
ما الذي تعنيه؟,ماذا تعنين؟
والدتك ؟,أمك
- أنت؟,هل ستفعل؟
هذه فكرة سيئة.,هذا فكرة سيئة
حسنا إلى اللقاء,حسنا ، بايعا
تشرفت بمقابلتك,سعدت لقاقائك
لقد مات.,أنه مت في الموت
شركة بيرس القابضة تفككت تماما,الشركة القيامة (بيرس) تتفتت تاليا
هذا الطريق؟,هنا الطريقة
لا بأس لا بأس,أنها حسنة، أنها حسنة.
-أهذا واضح,هل هذا وضح؟
شكرا لك,شكرا لك
« نار الله الموقدة » المسعرة .,نير حلوا هذا الرمقة
أنه أحمق,أنه غبي
لم أسأل,لم أسئلك
-لدي خطة,لدي خطة
"أعتذر, لقد كانت ليلة طويلة",أعذرني كانت ليلة طيبة
أنت مفصولة,أنت مطرد
كيف حالك ؟,كيف عليك؟
من أنت؟,من أنت؟
أيها الأحمق,أنت أحمق؟
...أنا فقط,أنا فقط
-هيـا، خذي منهـا .,اذهبي
ما رأيك؟,ماذا تفكر ؟
و الخوف,و خواف
هل هذه المعلومات صحيحة؟,هل هذا الحقيق؟
وماذا أيضا؟,ماذا الغير؟
يا الهي ...,هل يا يا الهي؟
.. يا إلهي -,هل يا يا الهي؟
من كان هذا؟,من كان هذا؟
فكرة رائعة,فكرة عظيمة
يا إلاهي.,يا الهي، ماذا تريدن؟
-هل أنت بخير ؟,هل أنت بخير؟
من قتل ثورزبى ؟,من قتل تورسبي؟
هناك تذهب.,هنا تذهب
الان ماذا؟,الان ماذا الان؟
لا أستطيع,لا أستطيع أن أعمل هذا
-عظيم عند 10:,عظيم
"-وهذا شئ لا تفعله ""يومارت """,هذا شيء ما لا يفعله امارت
لقد لمست صدرك,لمسست ثديك
بإمكانك طبخ وجبة العشاء,يمكنك أن تعد عشائا
لابد أنكم تمزحون؟,أنت يجب أن تمرحني
إنه الإسم الوحيد الذي تكرر.,أنه الأسم الوحيد يكاررر
لا، أنه شيكو.,لا هذا الشيكا
لا عدالة.,لا عدل العدلة
إذا لم يكونوا قد نظفوه بعد,لو لم يتطهرونها على الان
ماذا يحدث معنا؟,ماذا يحسب معنا؟
-نعم، إنه شرطي سابق,أجل، الشبط السابق
كل شخص في المدينة سيبحث عني,سيبحث عني كل المدينة
-إذا، لا تذهب اليوم .,أنت لا تذهب اليوم؟
شكرا لكي,شكرا لك
دان أنا فقط أريد أن أقول لك,دان) أريد اخبرك)
مرحبا، كيف حالك؟,مهلا كيف تعلين؟
) أحضرت موعدك هنا ؟,انت جلبت ميعا
"جيمي"", لماذا تقود الفيراري""",جيمي) لما تقود فيراري؟ )
نعم، ال12. -أين أيضا؟,أين الغير؟
هل ذلك السبب يقفز؟,هل هذا السبب لقفز؟
الجزء الأول - مواد عامة,النظر التقاييين 23
أنت لم تخبرها؟,أنت لم تخبرها؟
إنها قادمة,هي ستقادم
"اوه , وانت , ايضا , واك",و أنت مخنق حقاً
