English,Arabic
 She hides her grief and joins in the homecoming celebration.,إنها تخفي حزنها وتنضم إلى احتفالات العودة للوطن
" Rokshik stayed at the palace of his personal friend, the dictator Fernandez Marcos.",ومكث روكشيك في قصر صديقه الشخصي، الدكتاتور فيرنانديز ماركوس.
 She had an uneventful career.,كان لديها حياة وظيفية غير مستقرة.
 Let's eat the chocolate tonight.,دعنا نأكل الشوكولاتة الليلة
 Newport was a county borough.,(نيوبورت) كانت مقاطعة.
 The Heckman model falls into this type.,نموذج هيكمان يقع في هذا النوع.
 The writing lost grain fleet in the rural southwestern corner of St. Catharines.,وفقدت هذه الكتابة أسطولا من الحبوب في الركن الريفي الجنوبي الغربي من سانت كاتارنيس.
 It features a day and night camera and video relay.,ويتميز بكاميرا نهارية وليلية وتتابع الفيديو.
 More modern versions of the tax no longer require an actual stamp.,والصيغ الأكثر حداثة للضريبة لم تعد تتطلب طابعا فعليا.
 The classification is based on the timing of transcription that is temporarily regulated.,ويستند التصنيف إلى توقيت الاستخلاص الذي ينظم مؤقتاً.
 He wore a white sitter to dinner.,لقد وضع جليسة بيضاء على العشاء
" It forms the largest artificial lake in Maui, Lake Manantali.",وهي تشكل أكبر بحيرة اصطناعية في ماوي، بحيرة مانانتالي.
 Fox shuffled the show's airtime repeatedly to make room for other shows.,(فوكس) قام بتكرار بث البرنامج مراراً وتكراراً ليفسح المجال لعروض أخرى.
 Viner has produced short documentary videos about legal history and comparative law.,وأنتج فيرنر أشرطة فيديو وثائقية قصيرة عن التاريخ القانوني والقانون المقارن.
" When the player character touches a monster, they die.",عندما شخص اللاعب يلمس وحشاً، يموتون.
 The Customs and Border Protection offices recently opened in the easternmost former cargo building.,وافتتح مؤخرا مكتبا الجمارك وحماية الحدود في مبنى الشحن السابق في أقصى الشرق.
 Classmates and friends endowed a scholarship in his name at Carnegie Mellon.,حصل زملاء الدراسة والأصدقاء على منحة دراسية باسمه في كارنيج ميلن.
 This originated in slavery times where slaves were not allowed to play musical instruments.,وقد نشأ ذلك في الازمنة التي لم يُسمح فيها للرقيق ان يلعبوا الآلات الموسيقية.
" In autumn that year, she made a solo tour with her band in Switzerland.",في خريف تلك السنة، قامت بجولة منفردة مع فرقتها في سويسرا.
" The building houses, classrooms, toilets, showers, and a staff room.",وبيوت البناء، والفصول الدراسية، والمراحيض، والحمامات، وغرفة الموظفين.
 She was nicknamed Long Liz.,(لقد كان لقبها (لونغ ليز
