English,Arabic
She hides her grief and joins in the homecoming celebration.,إنها تخفي حزنها وتشارك في احتفال العودة للوطن.
"Rokshik stayed at the palace of his personal friend, the dictator Fernandez Marcos.","روكشيك أقام في قصر صديقه الشخصي، الديكتاتور فرناندو ماركوس."
She had an uneventful career.,كانت لديها مسيرة مهنية هادئة.
Let's eat the chocolate tonight.,دعونا نأكل الشوكولاتة الليلة.
Newport was a county borough.,كانت نيوپورت منطقة إدارية.
The Heckman model falls into this type.,نموذج هيكمان يندرج ضمن هذا النوع.
The writing lost grain fleet in the rural southwestern corner of St. Catharines.,الكتابة فقدت أسطول الحبوب في الزاوية الجنوبية الغربية الريفية من سانت كاثرين.
It features a day and night camera and video relay.,يحتوي على كاميرا ليلية ونهارية ونظام إعادة الفيديو.
More modern versions of the tax no longer require an actual stamp.,الإصدارات الأحدث من الضريبة لم تعد تتطلب طابعاً فعلياً.
The classification is based on the timing of transcription that is temporarily regulated.,التصنيف يعتمد على توقيت النسخ الذي يتم تنظيمه بشكل مؤقت.
He wore a white sitter to dinner.,ارتدى سترة بيضاء على العشاء.
"It forms the largest artificial lake in Maui, Lake Manantali.","تشكل بحيرة ماننتالي في ماوي، وهي أكبر بحيرة صناعية."
Fox shuffled the show's airtime repeatedly to make room for other shows.,قام فوكس بتغيير موعد عرض البرنامج مراراً لتوفير مساحة لعروض أخرى.
Viner has produced short documentary videos about legal history and comparative law.,فينر أنتج مقاطع فيديو وثائقية قصيرة عن التاريخ القانوني والقانون المقارن.
"When the player character touches a monster, they die.","عندما يلمس شخصية اللاعب وحشاً، يموت."
The Customs and Border Protection offices recently opened in the easternmost former cargo building.,افتتحت مكاتب الجمارك وحماية الحدود مؤخراً في أقصى المباني الشرقية التي كانت تستخدم للشحن.
Classmates and friends endowed a scholarship in his name at Carnegie Mellon.,زملاء الصف والأصدقاء أنشأوا منحة دراسية باسمه في جامعة كارنيجي ميلون.
This originated in slavery times where slaves were not allowed to play musical instruments.,هذا نشأ في زمن العبودية حيث لم يكن يُسمح للعبيد بالعزف على الآلات الموسيقية.
